Microns	Transmission
1.423	9.504E-01
1.424	9.523E-01
1.425	9.524E-01
1.426	9.520E-01
1.427	9.522E-01
1.428	9.520E-01
1.429	9.533E-01
1.430	9.545E-01
1.431	9.563E-01
1.432	9.562E-01
1.433	9.549E-01
1.434	9.545E-01
1.435	9.555E-01
1.436	9.562E-01
1.437	9.563E-01
1.438	9.559E-01
1.439	9.555E-01
1.440	9.561E-01
1.441	9.555E-01
1.442	9.566E-01
1.443	9.554E-01
1.444	9.561E-01
1.445	9.558E-01
1.446	9.561E-01
1.447	9.549E-01
1.448	9.560E-01
1.449	9.568E-01
1.450	9.572E-01
1.451	9.565E-01
1.452	9.566E-01
1.453	9.559E-01
1.454	9.535E-01
1.455	9.510E-01
1.456	9.491E-01
1.457	9.479E-01
1.458	9.467E-01
1.459	9.463E-01
1.460	9.441E-01
1.461	9.411E-01
1.462	9.384E-01
1.463	9.373E-01
1.464	9.362E-01
1.465	9.348E-01
1.466	9.326E-01
1.467	9.303E-01
1.468	9.286E-01
1.469	9.275E-01
1.470	9.261E-01
1.471	9.233E-01
1.472	9.216E-01
1.473	9.195E-01
1.474	9.203E-01
1.475	9.195E-01
1.476	9.218E-01
1.477	9.208E-01
1.478	9.213E-01
1.479	9.204E-01
1.480	9.212E-01
1.481	9.207E-01
1.482	9.214E-01
1.483	9.220E-01
1.484	9.246E-01
1.485	9.267E-01
1.486	9.283E-01
1.487	9.293E-01
1.488	9.299E-01
1.489	9.318E-01
1.490	9.330E-01
1.491	9.359E-01
1.492	9.381E-01
1.493	9.411E-01
1.494	9.412E-01
1.495	9.426E-01
1.496	9.442E-01
1.497	9.459E-01
1.498	9.472E-01
1.499	9.499E-01
1.500	9.525E-01
1.501	9.546E-01
1.502	9.540E-01
1.503	9.555E-01
1.504	9.576E-01
1.505	9.593E-01
1.506	9.612E-01
1.507	9.615E-01
1.508	9.631E-01
1.509	9.637E-01
1.510	9.658E-01
1.511	9.661E-01
1.512	9.670E-01
1.513	9.672E-01
1.514	9.683E-01
1.515	9.683E-01
1.516	9.693E-01
1.517	9.710E-01
1.518	9.702E-01
1.519	9.697E-01
1.520	9.677E-01
1.521	9.668E-01
1.522	9.677E-01
1.523	9.659E-01
1.524	9.652E-01
1.525	9.618E-01
1.526	9.622E-01
1.527	9.622E-01
1.528	9.608E-01
1.529	9.586E-01
1.530	9.572E-01
1.531	9.562E-01
1.532	9.557E-01
1.533	9.548E-01
1.534	9.529E-01
1.535	9.516E-01
1.536	9.499E-01
1.537	9.510E-01
1.538	9.502E-01
1.539	9.496E-01
1.540	9.476E-01
1.541	9.464E-01
1.542	9.457E-01
1.543	9.460E-01
1.544	9.434E-01
1.545	9.429E-01
1.546	9.410E-01
1.547	9.415E-01
1.548	9.404E-01
1.549	9.369E-01
1.550	9.357E-01
1.551	9.332E-01
1.552	9.336E-01
1.553	9.313E-01
1.554	9.310E-01
1.555	9.280E-01
1.556	9.259E-01
1.557	9.224E-01
1.558	9.210E-01
1.559	9.202E-01
1.560	9.195E-01
1.561	9.193E-01
1.562	9.174E-01
1.563	9.158E-01
1.564	9.137E-01
1.565	9.137E-01
1.566	9.144E-01
1.567	9.168E-01
1.568	9.183E-01
1.569	9.190E-01
1.570	9.197E-01
1.571	9.208E-01
1.572	9.242E-01
1.573	9.255E-01
1.574	9.292E-01
1.575	9.309E-01
1.576	9.354E-01
1.577	9.381E-01
1.578	9.404E-01
1.579	9.422E-01
1.580	9.437E-01
1.581	9.465E-01
1.582	9.490E-01
1.583	9.515E-01
1.584	9.547E-01
1.585	9.562E-01
1.586	9.567E-01
1.587	9.563E-01
1.588	9.563E-01
1.589	9.566E-01
1.590	9.566E-01
1.591	9.578E-01
1.592	9.601E-01
1.593	9.612E-01
1.594	9.607E-01
1.595	9.605E-01
1.596	9.614E-01
1.597	9.632E-01
1.598	9.638E-01
1.599	9.626E-01
1.600	9.628E-01
1.601	9.635E-01
1.602	9.651E-01
1.603	9.650E-01
1.604	9.643E-01
1.605	9.643E-01
1.606	9.651E-01
1.607	9.668E-01
1.608	9.665E-01
1.609	9.658E-01
1.610	9.648E-01
1.611	9.655E-01
1.612	9.650E-01
1.613	9.645E-01
1.614	9.629E-01
1.615	9.632E-01
1.616	9.622E-01
1.617	9.634E-01
1.618	9.615E-01
1.619	9.609E-01
1.620	9.575E-01
1.621	9.568E-01
1.622	9.547E-01
1.623	9.529E-01
1.624	9.497E-01
1.625	9.472E-01
1.626	9.444E-01
1.627	9.423E-01
1.628	9.409E-01
1.629	9.393E-01
1.630	9.378E-01
1.631	9.363E-01
1.632	9.365E-01
1.633	9.361E-01
1.634	9.358E-01
1.635	9.368E-01
1.636	9.384E-01
1.637	9.408E-01
1.638	9.416E-01
1.639	9.438E-01
1.640	9.444E-01
1.641	9.462E-01
1.642	9.473E-01
1.643	9.492E-01
1.644	9.490E-01
1.645	9.496E-01
1.646	9.504E-01
1.647	9.547E-01
1.648	9.573E-01
1.649	9.590E-01
1.650	9.607E-01
1.651	9.621E-01
1.652	9.652E-01
1.653	9.671E-01
1.654	9.691E-01
1.655	9.678E-01
1.656	9.644E-01
1.657	9.580E-01
1.658	9.476E-01
1.659	9.306E-01
1.660	9.063E-01
1.661	8.751E-01
1.662	8.360E-01
1.663	7.885E-01
1.664	7.350E-01
1.665	6.779E-01
1.666	6.175E-01
1.667	5.554E-01
1.668	4.923E-01
1.669	4.320E-01
1.670	3.753E-01
1.671	3.233E-01
1.672	2.770E-01
1.673	2.364E-01
1.674	2.025E-01
1.675	1.752E-01
1.676	1.525E-01
1.677	1.336E-01
1.678	1.164E-01
1.679	1.019E-01
1.680	8.912E-02
1.681	7.900E-02
1.682	6.999E-02
1.683	6.206E-02
1.684	5.408E-02
1.685	4.652E-02
1.686	3.936E-02
1.687	3.305E-02
1.688	2.770E-02
1.689	2.320E-02
1.690	1.944E-02
1.691	1.636E-02
1.692	1.376E-02
1.693	1.160E-02
1.694	9.793E-03
1.695	8.288E-03
1.696	7.031E-03
1.697	5.974E-03
1.698	5.096E-03
1.699	4.346E-03
1.700	3.731E-03
1.701	3.209E-03
1.702	2.767E-03
1.703	2.386E-03
1.704	2.068E-03
1.705	1.799E-03
1.706	1.569E-03
1.707	1.371E-03
1.708	1.200E-03
1.709	1.054E-03
1.710	9.286E-04
1.711	8.216E-04
1.712	7.291E-04
1.713	6.465E-04
1.714	5.750E-04
1.715	5.109E-04
1.716	4.580E-04
1.717	4.099E-04
1.718	3.678E-04
1.719	3.301E-04
1.720	2.975E-04
1.721	2.699E-04
1.722	2.438E-04
1.723	2.208E-04
1.724	1.997E-04
1.725	1.823E-04
1.726	1.654E-04
1.727	1.511E-04
1.728	1.372E-04
1.729	1.266E-04
1.730	1.158E-04
1.731	1.071E-04
1.732	9.813E-05
1.733	8.908E-05
1.734	8.222E-05
1.735	7.524E-05
1.736	7.027E-05
1.737	6.508E-05
1.738	6.025E-05
1.739	5.596E-05
1.740	5.126E-05
1.741	4.743E-05
1.742	4.375E-05
1.743	4.131E-05
1.744	3.907E-05
1.745	3.738E-05
1.746	3.475E-05
1.747	3.347E-05
1.748	3.181E-05
1.749	2.981E-05
1.750	2.802E-05
1.751	2.577E-05
1.752	2.430E-05
1.753	2.249E-05
1.754	2.203E-05
1.755	2.133E-05
1.756	2.051E-05
1.757	1.777E-05
1.758	1.738E-05
1.759	1.660E-05
1.760	1.797E-05
1.761	1.694E-05
1.762	1.621E-05
1.763	1.499E-05
1.764	1.414E-05
1.765	1.439E-05
1.766	1.366E-05
1.767	1.380E-05
1.768	1.234E-05
1.769	1.246E-05
1.770	1.307E-05
1.771	1.279E-05
1.772	1.283E-05
1.773	1.147E-05
1.774	1.133E-05
1.775	1.123E-05
1.776	1.179E-05
1.777	1.253E-05
1.778	1.260E-05
1.779	1.103E-05
1.780	9.788E-06
1.781	8.771E-06
1.782	8.880E-06
1.783	8.724E-06
1.784	8.960E-06
1.785	9.636E-06
1.786	1.119E-05
1.787	1.155E-05
1.788	1.082E-05
1.789	1.028E-05
1.790	9.562E-06
1.791	1.094E-05
1.792	1.055E-05
1.793	1.078E-05
1.794	9.770E-06
1.795	1.091E-05
1.796	1.091E-05
1.797	1.095E-05
1.798	9.111E-06
1.799	8.153E-06
1.800	9.107E-06
1.801	9.938E-06
1.802	1.158E-05
1.803	1.181E-05
1.804	1.121E-05
1.805	1.016E-05
1.806	8.792E-06
1.807	9.575E-06
1.808	9.995E-06
1.809	1.087E-05
1.810	1.199E-05
1.811	1.179E-05
1.812	1.160E-05
1.813	1.019E-05
1.814	1.044E-05
1.815	9.554E-06
1.816	9.264E-06
1.817	9.722E-06
1.818	1.143E-05
1.819	1.137E-05
1.820	1.111E-05
1.821	9.991E-06
1.822	1.051E-05
1.823	1.060E-05
1.824	1.074E-05
1.825	1.105E-05
1.826	1.031E-05
1.827	9.036E-06
1.828	9.520E-06
1.829	9.389E-06
1.830	1.126E-05
1.831	9.917E-06
1.832	1.106E-05
1.833	9.014E-06
1.834	1.030E-05
1.835	9.730E-06
1.836	1.116E-05
1.837	9.052E-06
1.838	9.808E-06
1.839	8.691E-06
1.840	1.022E-05
1.841	8.459E-06
1.842	1.003E-05
1.843	1.040E-05
1.844	1.094E-05
1.845	1.043E-05
1.846	1.132E-05
1.847	1.236E-05
1.848	1.192E-05
1.849	1.144E-05
1.850	1.093E-05
1.851	1.429E-05
1.852	1.374E-05
1.853	1.376E-05
1.854	1.097E-05
1.855	1.222E-05
1.856	1.269E-05
1.857	1.202E-05
1.858	1.193E-05
1.859	9.761E-06
1.860	1.157E-05
1.861	1.097E-05
1.862	1.462E-05
1.863	1.327E-05
1.864	1.384E-05
1.865	1.181E-05
1.866	1.126E-05
1.867	1.157E-05
1.868	1.171E-05
1.869	1.288E-05
1.870	1.203E-05
1.871	1.320E-05
1.872	1.237E-05
1.873	1.167E-05
1.874	1.027E-05
1.875	1.069E-05
1.876	1.104E-05
1.877	1.219E-05
1.878	1.203E-05
1.879	1.086E-05
1.880	9.617E-06
1.881	8.255E-06
1.882	9.575E-06
1.883	1.008E-05
1.884	1.283E-05
1.885	1.205E-05
1.886	1.081E-05
1.887	9.896E-06
1.888	1.003E-05
1.889	1.136E-05
1.890	1.099E-05
1.891	1.152E-05
1.892	1.112E-05
1.893	1.138E-05
1.894	9.933E-06
1.895	1.136E-05
1.896	1.272E-05
1.897	1.510E-05
1.898	1.435E-05
1.899	1.232E-05
1.900	1.080E-05
1.901	1.054E-05
1.902	1.178E-05
1.903	1.116E-05
1.904	1.094E-05
1.905	1.038E-05
1.906	1.145E-05
1.907	1.193E-05
1.908	1.153E-05
1.909	1.164E-05
1.910	1.196E-05
1.911	1.251E-05
1.912	1.377E-05
1.913	1.313E-05
1.914	1.301E-05
1.915	1.121E-05
1.916	1.133E-05
1.917	1.098E-05
1.918	1.248E-05
1.919	1.214E-05
1.920	1.285E-05
1.921	1.239E-05
1.922	1.355E-05
1.923	1.319E-05
1.924	1.320E-05
1.925	1.093E-05
1.926	1.192E-05
1.927	1.187E-05
1.928	1.259E-05
1.929	1.159E-05
1.930	1.157E-05
1.931	1.180E-05
1.932	1.133E-05
1.933	1.114E-05
1.934	1.157E-05
1.935	1.323E-05
1.936	1.326E-05
1.937	1.320E-05
1.938	1.040E-05
1.939	1.148E-05
1.940	1.117E-05
1.941	1.354E-05
1.942	1.314E-05
1.943	1.361E-05
1.944	1.511E-05
1.945	1.488E-05
1.946	1.601E-05
1.947	1.470E-05
1.948	1.254E-05
1.949	1.270E-05
1.950	1.310E-05
1.951	1.394E-05
1.952	1.212E-05
1.953	1.106E-05
1.954	1.036E-05
1.955	1.146E-05
1.956	1.075E-05
1.957	1.300E-05
1.958	1.201E-05
1.959	1.232E-05
1.960	1.108E-05
1.961	1.157E-05
1.962	1.117E-05
1.963	1.098E-05
1.964	1.041E-05
1.965	1.154E-05
1.966	1.317E-05
1.967	1.278E-05
1.968	1.396E-05
1.969	1.225E-05
1.970	1.348E-05
1.971	1.203E-05
1.972	1.334E-05
1.973	1.349E-05
1.974	1.396E-05
1.975	1.211E-05
1.976	1.129E-05
1.977	1.132E-05
1.978	1.356E-05
1.979	1.466E-05
1.980	1.273E-05
1.981	1.175E-05
1.982	1.287E-05
1.983	1.557E-05
1.984	1.462E-05
1.985	1.262E-05
1.986	1.185E-05
1.987	1.319E-05
1.988	1.455E-05
1.989	1.496E-05
1.990	1.327E-05
1.991	1.268E-05
1.992	1.163E-05
1.993	1.182E-05
1.994	1.137E-05
1.995	1.328E-05
1.996	1.415E-05
1.997	1.437E-05
1.998	1.345E-05
1.999	1.256E-05
2.000	1.143E-05
2.001	9.796E-06
2.002	1.107E-05
2.003	1.313E-05
2.004	1.471E-05
2.005	1.347E-05
2.006	1.260E-05
2.007	1.339E-05
2.008	1.382E-05
2.009	1.417E-05
2.010	1.368E-05
2.011	1.608E-05
2.012	1.485E-05
2.013	1.513E-05
2.014	1.340E-05
2.015	1.509E-05
2.016	1.297E-05
2.017	1.480E-05
2.018	1.464E-05
2.019	1.701E-05
2.020	1.577E-05
2.021	1.610E-05
2.022	1.353E-05
2.023	1.300E-05
2.024	1.362E-05
2.025	1.546E-05
2.026	1.592E-05
2.027	1.334E-05
2.028	1.348E-05
2.029	1.530E-05
2.030	1.682E-05
2.031	1.632E-05
2.032	1.759E-05
2.033	1.658E-05
2.034	1.495E-05
2.035	1.256E-05
2.036	1.198E-05
2.037	1.448E-05
2.038	1.433E-05
2.039	1.527E-05
2.040	1.330E-05
2.041	1.631E-05
2.042	1.604E-05
2.043	1.767E-05
2.044	1.310E-05
2.045	1.492E-05
2.046	1.316E-05
2.047	1.347E-05
2.048	1.366E-05
2.049	1.505E-05
2.050	1.605E-05
2.051	1.536E-05
2.052	1.517E-05
2.053	1.446E-05
2.054	1.379E-05
2.055	1.449E-05
2.056	1.481E-05
2.057	1.371E-05
