Microns	Tranmission
1.456	5.672E-06
1.457	6.094E-06
1.458	6.465E-06
1.459	6.002E-06
1.460	6.884E-06
1.461	5.771E-06
1.462	6.528E-06
1.463	5.125E-06
1.464	6.428E-06
1.465	5.406E-06
1.466	5.596E-06
1.467	4.364E-06
1.468	4.736E-06
1.469	4.756E-06
1.470	5.565E-06
1.471	4.813E-06
1.472	5.409E-06
1.473	4.994E-06
1.474	4.371E-06
1.475	5.964E-06
1.476	6.799E-06
1.477	7.270E-06
1.478	5.665E-06
1.479	4.755E-06
1.480	4.852E-06
1.481	4.357E-06
1.482	5.771E-06
1.483	5.654E-06
1.484	6.808E-06
1.485	5.803E-06
1.486	5.166E-06
1.487	3.897E-06
1.488	4.422E-06
1.489	5.342E-06
1.490	5.727E-06
1.491	5.441E-06
1.492	5.995E-06
1.493	5.707E-06
1.494	5.358E-06
1.495	5.650E-06
1.496	7.410E-06
1.497	6.630E-06
1.498	6.435E-06
1.499	6.313E-06
1.500	8.449E-06
